sentiment,content
0,My paycheck was nothing but a piece of paper.
1,Birthday Girl ?  blessed to live another year &amp; celebrate with loved ones
1,@JohnLloydTaylor aw.  I'm glad you do. Where would we be with out one?
2,@alexeiv tell his people to contact my people
0,boo for all the season finales..
2,@MaraBG OK!  ~ you are such a wild one - can only imagine this one...
0,*sigh* Off 2 bed 2 try 2 get these crummy 2 hrs of sleep b4 my horrid 12 hour day..smh. Niterzzz evry1. Don't let the twitterbugz bite..
0,"Awh, its the last day of the tour  I'll miss hangin w/@sendoutscuds and Children 18:3. Soooo...let's make it an awesome nite in OK!!"
0,"Everytime i have a bruise, @marcuselzey can't stop hitting it on accident."
0,Awww I wonder when ima get married. Shawna and Damon are so cute
1,"World's Happiest Places ...   Denmark, Finland and the Netherlands"
1,"somebody smuggle me to sydney, i'll be your slave for eternity"
2,@Dhazza hehe sure thing
0,@StaceBDU but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!
1,third date went well....moving on to fourth!!!!!!
2,@savagestar Sounds like you won backstage passes
1,finally leavin tha studio.Made some really really good music! Very pleased wit tha turnout  !
1,@DebbieFletcher Happy Mothers Day! i hope tom got you something special! enjoy day!  xo
2,@AndyR3w wish i was rollin with ya
0,"@AubreyODay  Aubrey, i know i speek for a lot of fans when i say we miss seing you on T.V. I hope we will be seeing you again  ..."
1,"Multiply's getting boring :| I wish Reichelle has twitter. @isaofoz, convince recruit herr, will ya?"
2,the day is almost over... atlast i was able to through  with all the comments  Now waiting for the new blog from TED!
1,"dont worry baby i'll eat sum cake for the both of us , i'll hit u up wen i get back. bye, dont eat too much at home"
0,http://twitpic.com/67hvr - This picture is from last year freshman year how I miss thos days
1,@CourvidLove4Eva  FC is back dear.
0,Can't believe ER is over
0,@kristalswan You're welcome! Cutie-pie kiddo.. in your picture btw  Love those shades!
1,crazy in love sfoot cover 4 that song is awesome better than the original well at least that's what i think
1,Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day
0,rain rain go away.  had to cancel my pool plans! tragic.
0,"@nigs Ah so 15 months. I'm sure he is advanced, and it's not you being biased  they seem to grow up faster these days - now I sound old!"
1,Please everyone to vote for me to become the next Maxim Coors Caddy girl...only takes a few minutes  http://tinyurl.com/dloeyu
0,@megdia tweet often and it'll draw followers to you
2,@gk2007: bibi em  Th? lï¿½ 1 chï¿½m dï¿½u ?ï¿½ ra ?i...
2,Yes man was good
2,"@woopow8 Hi, what are you a consultant for?"
2,@kel7alpha I only happened to look on a random chance. Timing is everything.
0,NO FREE WIFI!?!? My vacay is ruined!!!!
1,"@lilmomz Just been in that kind of mood, not reason at all. Lol, but I'll try not to be too mushy around you!  I can behave!"
2,@trisler lol. I see what you did there.
0,First Natalie and now little Holly. This is mean
2,"@justlikeanovel If you keep trying, you'll get it right the last time."
1,@kelsie_marie1 hey beautiful whats up?
1,"time for The Great Yakuza Horror Theatre, wish me luck"
0,@AsiaRain22 @ the expensive of their workers welfare  other than that they are the shit !
1,"ever been in a pointless argument with drunk mum, drunk nan and drunk mums bf while having dinner??? i have.... fun times all round  hahah"
0,pengen nonton Friens of mine comeback show di prost beer house kemang besok.. tapi ga bisaaaaaaaaaa..
0,*sits at the airport waiting for @DenalisAngel to get here*..I got in early to surprise her and i can't find her
1,Burnt from the lake
0,Crossing the bridge....leaving ocean city  I'm sad.
1,@TayloRAWR if you're watching this...I love you.&quot; I almost died. But now...SHE MEANS NOTHING!
1,Im liking escape the fate alot tonight.  excited for ESTK      NemoNemesis
2,when can i ever do a barre chord???
0,Finally back from the stupid holiday ! Missing the fit bar men though
1,Eminem's new song &quot;Beautiful&quot; is amazing!. Listen to the MAGIC right NOW!!  http://www.myspace.com/steve005
2,"thanks for following, @deee_earl"
1,"Already up and in the clouds, cod4 and French toast, best day of my life"
0,pics arent working for me here on twitter
0,@brighternoise really??
2,"math is all that is left for the day, then the DMV"
0,Very sad that my camera is in the hands of the Geek Squad. 2-3 weeks!
0,Ugh feeling sick to my stomach and I have five more hours of work to go
0,@Jennicricket not sure i can make it
1,"is back at working auditing away, time to make the hard decisions and be happy"
2,watching 48 hours
2,Work at 5:45am =
2,"@sammoran Sam, may I ask an odd question?  What might your fave animal be?"
1,@jaspercullen I would think you'd want to follow me.
1,@TicketChoice lunch was going home to rest...not well today
1,Chillaxing in Hyde park
1,@mr_uppercut that was such an 'old man' thing to say
2,"@JasonBradbury Oh dear, what a rotten life you lead, NOT!"
0,ough out of the shower and my toes feel horrible in my socks i think they are still a bit wet
2,finishing washing dishes
1,Decode by Paramore is a great song... Love it...
0,En el salon.. Que caliente el blower ouch
0,&quot;Puke In My Mouth&quot; the brilliant response to Jizz In My Pants  http://tinyurl.com/cy8z7y  Over the top wrong
1,I would rather end up heart broken then have regret because i didnt take a chance
1,"@MikeEscamilla @tonyhawk  that was flippin' sweet, dudes. thanks for sharing"
0,"@tim_weber I wrote a leadership essay abt its founder. The expansion didn't went well, tried to break in America. Lots of money burned."
0,This is not a happy tweet
0,@snedwan Mooooooooornin'  How are you? Are your legs ok?
